t_sec,loop_dt_ms,inst_fps
2.067366485595703125e+02,3.032875061035156250e+01,3.297201538085937500e+01
2.067731933593750000e+02,3.655028533935546875e+01,2.735956764221191406e+01
2.068025970458984375e+02,2.939701080322265625e+01,3.401706314086914062e+01
2.068401947021484375e+02,3.760671615600585938e+01,2.659099578857421875e+01
2.068704986572265625e+02,3.030109405517578125e+01,3.300210952758789062e+01
2.069044036865234375e+02,3.390407562255859375e+01,2.949497985839843750e+01
2.069387512207031250e+02,3.434181213378906250e+01,2.911902236938476562e+01
2.069721221923828125e+02,3.338027191162109375e+01,2.995781517028808594e+01
2.070056152343750000e+02,3.348588943481445312e+01,2.986332511901855469e+01
2.070386505126953125e+02,3.303313446044921875e+01,3.027263450622558594e+01
2.070723724365234375e+02,3.372001647949218750e+01,2.965597534179687500e+01
2.071073913574218750e+02,3.502487945556640625e+01,2.855113410949707031e+01
2.071394653320312500e+02,3.206610870361328125e+01,3.118557357788085938e+01
2.071726226806640625e+02,3.316783905029296875e+01,3.014968872070312500e+01
2.072049560546875000e+02,3.232884216308593750e+01,3.093213081359863281e+01
2.072384033203125000e+02,3.344416809082031250e+01,2.990057945251464844e+01
2.072722320556640625e+02,3.382921218872070312e+01,2.956025123596191406e+01
2.073056945800781250e+02,3.346872329711914062e+01,2.987864112854003906e+01
2.073379211425781250e+02,3.222894668579101562e+01,3.102800750732421875e+01
2.073743743896484375e+02,3.644633483886718750e+01,2.743760108947753906e+01
2.074069061279296875e+02,3.253578948974609375e+01,3.073538398742675781e+01
2.074398803710937500e+02,3.297615051269531250e+01,3.032494735717773438e+01
2.074732971191406250e+02,3.341388702392578125e+01,2.992767715454101562e+01
2.075054321289062500e+02,3.213095855712890625e+01,3.112263298034667969e+01
2.075403289794921875e+02,3.489398956298828125e+01,2.865822982788085938e+01
2.075742340087890625e+02,3.390598297119140625e+01,2.949332046508789062e+01
2.076084136962890625e+02,3.418708038330078125e+01,2.925081634521484375e+01
2.076415100097656250e+02,3.310108184814453125e+01,3.021049308776855469e+01
2.076750183105468750e+02,3.349566650390625000e+01,2.985460853576660156e+01
2.077089080810546875e+02,3.389120101928710938e+01,2.950618362426757812e+01
2.077394714355468750e+02,3.056406974792480469e+01,3.271815490722656250e+01
2.077770385742187500e+02,3.756284713745117188e+01,2.662204933166503906e+01
2.078066864013671875e+02,2.966117858886718750e+01,3.371410369873046875e+01
2.078407135009765625e+02,3.402709960937500000e+01,2.938833999633789062e+01
2.078734588623046875e+02,3.274703216552734375e+01,3.053711891174316406e+01
2.079131317138671875e+02,3.965854644775390625e+01,2.521524620056152344e+01
2.079462738037109375e+02,3.315019607543945312e+01,3.016573333740234375e+01
2.079774169921875000e+02,3.113603591918945312e+01,3.211712646484375000e+01
2.080077819824218750e+02,3.037714958190917969e+01,3.291947937011718750e+01
2.080424346923828125e+02,3.464698791503906250e+01,2.886253738403320312e+01
2.080745086669921875e+02,3.208088684082031250e+01,3.117120742797851562e+01
2.081094512939453125e+02,3.493190002441406250e+01,2.862712860107421875e+01
2.081416015625000000e+02,3.215217590332031250e+01,3.110209465026855469e+01
2.081759796142578125e+02,3.437471389770507812e+01,2.909115028381347656e+01
2.082088775634765625e+02,3.291011047363281250e+01,3.038579940795898438e+01
2.082409667968750000e+02,3.207826614379882812e+01,3.117375564575195312e+01
2.082760162353515625e+02,3.505468368530273438e+01,2.852685928344726562e+01
2.083111114501953125e+02,3.509616851806640625e+01,2.849313926696777344e+01
2.083419189453125000e+02,3.080892562866210938e+01,3.245812606811523438e+01
2.083774719238281250e+02,3.555321502685546875e+01,2.812685203552246094e+01
2.084096679687500000e+02,3.218579101562500000e+01,3.106961059570312500e+01
2.084425201416015625e+02,3.286289978027343750e+01,3.042945098876953125e+01
2.084754180908203125e+02,3.288698196411132812e+01,3.040716934204101562e+01
2.085113983154296875e+02,3.598594665527343750e+01,2.778862571716308594e+01
2.085428771972656250e+02,3.148126602172851562e+01,3.176492309570312500e+01
2.085772552490234375e+02,3.438305664062500000e+01,2.908409309387207031e+01
2.086093292236328125e+02,3.206872940063476562e+01,3.118302536010742188e+01
2.086422424316406250e+02,3.291392517089843750e+01,3.038227653503417969e+01
2.086763458251953125e+02,3.410411071777343750e+01,2.932197761535644531e+01
2.087118988037109375e+02,3.555107116699218750e+01,2.812854766845703125e+01
2.087425689697265625e+02,3.066992759704589844e+01,3.260522842407226562e+01
2.087771301269531250e+02,3.455495834350585938e+01,2.893940734863281250e+01
2.088113708496093750e+02,3.424000549316406250e+01,2.920560264587402344e+01
